,Gene,log2FoldChange,pvalue,padj
12685,MARVELD2,0.1851,0.6156,0.9994
12686,OCLN,-0.1721,0.658,0.9994
12687,GUSBP3,-0.1717,0.4613,0.9994
12688,GTF2H2B,-0.4644,0.2286,0.9994
12689,GUSBP9,0.4464,0.232,0.9994
12690,NAIP,0.1074,0.7734,0.9994
12691,GTF2H2,-0.3093,0.4282,0.9994
12692,LOC647859,-0.06322,0.8382,0.9994
12693,BDP1,0.04314,0.7455,0.9994
12694,MCCC2,-0.1992,0.5739,0.9994
12695,CARTPT,-0.08681,0.8248,0.9994
12696,MAP1B,0.05286,0.6532,0.9994
12697,MRPS27,-0.07021,0.5994,0.9994
12698,PTCD2,-0.01778,0.947,0.9994
12699,TNPO1,-0.0327,0.8883,0.9994
12700,FCHO2,-0.1437,0.3945,0.9994
12701,FOXD1,-0.05522,0.8878,0.9994
12702,BTF3,-0.183,0.5577,0.9994
12703,ANKRA2,0.2211,0.1256,0.9994
12704,UTP15,0.08649,0.7494,0.9994
12705,RGNEF,-0.3487,0.3341,0.9994
12706,ENC1,0.2044,0.4817,0.9994
12707,GFM2,0.1284,0.4654,0.9994
12708,NSA2,-0.225,0.4152,0.9994
12709,GCNT4,-0.1188,0.7156,0.9994
12710,ANKRD31,0.3293,0.3714,0.9994
12711,POLK,-0.1282,0.4296,0.9994
12712,POC5,0.09718,0.5871,0.9994
12713,SV2C,0.4801,0.214,0.9994
12714,IQGAP2,-0.09444,0.6387,0.9994
12715,F2R,-0.1417,0.5658,0.9994
12716,F2RL1,-0.1952,0.5865,0.9994
12717,AGGF1,0.1826,0.4713,0.9994
12718,ZBED3,-0.2875,0.394,0.9994
12719,SNORA47,-0.1725,0.6356,0.9994
12720,LOC728723,-0.04389,0.8832,0.9994
12721,PDE8B,-0.4417,0.147,0.9994
12722,WDR41,-0.1745,0.478,0.9994
12723,OTP,0.3523,0.3664,0.9994
12724,TBCA,-0.06328,0.7177,0.9994
12725,AP3B1,-0.4496,0.1261,0.9994
12726,SCAMP1,0.1716,0.375,0.9994
12727,ARSB,-0.2083,0.4164,0.9994
12728,DMGDH,-0.579,0.1202,0.9994
12729,JMY,-0.1188,0.7227,0.9994
12730,HOMER1,0.1722,0.4248,0.9994
12731,PAPD4,-0.1225,0.3706,0.9994
12732,CMYA5,-0.2934,0.3897,0.9994
12733,MTX3,-0.1105,0.6644,0.9994
12734,THBS4,-0.4442,0.1343,0.9994
12735,SERINC5,0.0128,0.9665,0.9994
12736,LOC644936,0.1206,0.6632,0.9994
12737,CRSP8P,0.1885,0.3912,0.9994
12738,ZFYVE16,-0.1206,0.4848,0.9994
12739,ANKRD34B,-0.1837,0.6388,0.9994
12740,DHFR,-0.107,0.7816,0.9994
12741,MTRNR2L2,-0.6076,0.1183,0.9994
12742,MSH3,-0.21,0.2719,0.9994
12743,RASGRF2,-0.1786,0.545,0.9994
12744,CKMT2,-0.08511,0.828,0.9994
12745,LOC100131067,0.4219,0.1185,0.9994
12746,ZCCHC9,-0.07733,0.8068,0.9994
12747,ACOT12,0.2086,0.5939,0.9994
12748,SSBP2,0.1182,0.511,0.9994
12749,ATG10,0.2079,0.395,0.9994
12750,RPS23,-0.3448,0.1807,0.9994
12751,ATP6AP1L,0.1128,0.7204,0.9994
12752,TMEM167A,0.06387,0.5785,0.9994
12753,XRCC4,0.1348,0.6446,0.9994
12754,EDIL3,0.1911,0.526,0.9994
12755,COX7C,-0.171,0.4455,0.9994
12756,RASA1,0.09025,0.5298,0.9994
12757,CCNH,0.03308,0.8866,0.9994
12758,TMEM161B,0.08992,0.6794,0.9994
12759,LOC100505894,0.4164,0.1298,0.9994
12760,LINC00461,0.1701,0.6191,0.9994
12761,MEF2C,-0.2462,0.4064,0.9994
12762,CETN3,0.1791,0.4811,0.9994
12763,MBLAC2,0.2355,0.3462,0.9994
12764,POLR3G,-0.03889,0.8863,0.9994
12765,LYSMD3,-0.1789,0.4242,0.9994
12766,GPR98,-0.151,0.6356,0.9994
12767,ARRDC3,-0.05177,0.8422,0.9994
12768,LOC100129716,-0.3222,0.3325,0.9994
12769,FLJ42709,-0.1096,0.7062,0.9994
12770,NR2F1,-0.04301,0.8427,0.9994
12771,FAM172A,0.01125,0.9551,0.9994
12772,KIAA0825,0.06401,0.8622,0.9994
12773,ANKRD32,-0.1105,0.6474,0.9994
12774,MCTP1,0.004066,0.9871,0.9994
12775,FAM81B,0.5327,0.1463,0.9994
12776,TTC37,-0.09597,0.6511,0.9994
12777,ARSK,-0.3031,0.1097,0.9994
12778,GPR150,0.1254,0.6995,0.9994
12779,RFESD,0.1522,0.6568,0.9994
12780,SPATA9,0.0754,0.8364,0.9994
12781,RHOBTB3,-0.3004,0.1998,0.9994
12782,GLRX,-0.07256,0.8214,0.9994
12783,ELL2,0.1119,0.634,0.9994
12784,PCSK1,0.219,0.5079,0.9994
12785,CAST,-0.4877,0.1718,0.9994
12786,ERAP2,-0.2031,0.5933,0.9994
12787,LNPEP,0.1125,0.4265,0.9994
12788,LIX1,0.3429,0.3309,0.9994
12789,RIOK2,0.09649,0.505,0.9994
12790,RGMB,0.1928,0.3173,0.9994
12791,CHD1,-0.1171,0.6339,0.9994
12792,LOC100289230,0.03591,0.9239,0.9994
12793,LOC100133050,0.1506,0.6935,0.9994
12794,FAM174A,0.07505,0.7714,0.9994
12795,ST8SIA4,0.2955,0.1666,0.9994
12796,PAM,-0.1204,0.7095,0.9994
12797,GIN1,0.2211,0.2293,0.9994
12798,PPIP5K2,0.04117,0.8501,0.9994
12799,C5orf30,0.0859,0.598,0.9994
12800,NUDT12,0.2178,0.4639,0.9994
12801,EFNA5,-0.3505,0.2194,0.9994
12802,FBXL17,0.03262,0.8786,0.9994
12803,HP07349,-0.05182,0.8859,0.9994
12804,FER,0.02395,0.8193,0.9994
12805,PJA2,0.08841,0.7252,0.9994
12806,TMEM232,0.2132,0.5727,0.9994
12807,SLC25A46,0.1645,0.3744,0.9994
12808,TSLP,-0.1608,0.6816,0.9994
12809,WDR36,0.0724,0.478,0.9994
12810,CAMK4,-0.1121,0.6647,0.9994
12811,STARD4,-0.2957,0.3393,0.9994
12812,LOC100505678,-0.1306,0.7028,0.9994
12813,NREP,0.1092,0.7059,0.9994
12814,SNORA13,-0.04837,0.8992,0.9994
12815,EPB41L4A,0.01313,0.9664,0.9994
12816,FLJ11235,0.03999,0.9149,0.9994
12817,APC,0.3652,0.263,0.9994
12818,SRP19,0.07324,0.6609,0.9994
12819,REEP5,0.2173,0.2046,0.9994
12820,DCP2,-0.2348,0.2884,0.9994
12821,MCC,-0.1864,0.581,0.9994
12822,TSSK1B,0.3156,0.418,0.9994
12823,YTHDC2,-0.04951,0.7518,0.9994
12824,KCNN2,-0.2101,0.5919,0.9994
12825,TRIM36,-0.2572,0.3613,0.9994
12826,PGGT1B,-0.0483,0.8224,0.9994
12827,CCDC112,0.01715,0.9482,0.9994
12828,FEM1C,0.01258,0.9479,0.9994
12829,TMED7,-0.05326,0.7849,0.9994
12830,CDO1,0.3359,0.1317,0.9994
12831,ATG12,-0.08832,0.4357,0.9994
12832,AP3S1,-0.1029,0.4934,0.9994
12833,AQPEP,-0.09431,0.8096,0.9994
12834,COMMD10,-0.1379,0.4744,0.9994
12835,SEMA6A,-0.2822,0.3951,0.9994
12836,DTWD2,-0.4268,0.1467,0.9994
12837,DMXL1,-0.07394,0.5138,0.9994
12838,HSD17B4,-0.0419,0.7829,0.9994
12839,SRFBP1,-0.08666,0.681,0.9994
12840,ZNF474,0.2902,0.4591,0.9994
12841,SNCAIP,0.03046,0.9067,0.9994
12842,SNX2,-0.1129,0.5727,0.9994
12843,SNX24,-0.1918,0.3075,0.9994
12844,PPIC,-0.5617,0.1304,0.9994
12845,CEP120,0.09862,0.4961,0.9994
12846,CSNK1G3,0.002318,0.9787,0.9994
12847,ZNF608,0.07184,0.7094,0.9994
12848,GRAMD3,-0.1383,0.71,0.9994
12849,ALDH7A1,-0.05569,0.8413,0.9994
12850,PHAX,0.04581,0.8582,0.9994
12851,LMNB1,-0.1694,0.4959,0.9994
12852,MARCH3,-0.1392,0.5178,0.9994
12853,C5orf63,-0.4975,0.2013,0.9994
12854,MEGF10,-0.09187,0.711,0.9994
12855,PRRC1,-0.05809,0.7776,0.9994
12856,CTXN3,-0.2812,0.4732,0.9994
12857,FLJ33630,0.08892,0.7932,0.9994
12858,SLC12A2,0.206,0.339,0.9994
12859,HINT1,-0.176,0.3535,0.9994
12860,LYRM7,0.07571,0.8146,0.9994
12861,CDC42SE2,0.04547,0.7604,0.9994
12862,FNIP1,-0.04094,0.8387,0.9994
12863,PDLIM4,-0.5113,0.1587,0.9994
12864,SLC22A4,-0.1801,0.5364,0.9994
12865,LOC553103,0.1932,0.5971,0.9994
12866,MIR3936,0.2846,0.4661,0.9994
12867,SLC22A5,-0.1548,0.4846,0.9994
12868,C5orf56,-0.2325,0.5339,0.9994
12869,RAD50,0.08457,0.7668,0.9994
12870,CCNI2,-0.1336,0.7324,0.9994
12871,SOWAHA,0.1275,0.7289,0.9994
12872,SHROOM1,-0.3654,0.3463,0.9994
12873,UQCRQ,0.02594,0.8923,0.9994
12874,LEAP2,0.1648,0.6517,0.9994
12875,AFF4,-0.01048,0.9444,0.9994
12876,ZCCHC10,0.04949,0.6722,0.9994
12877,HSPA4,-0.0175,0.8817,0.9994
12878,FSTL4,0.3196,0.3856,0.9994
12879,C5orf15,-0.09955,0.6784,0.9994
12880,VDAC1,-0.1294,0.3552,0.9994
12881,TCF7,-0.2923,0.3629,0.9994
12882,SKP1,0.08776,0.5307,0.9994
12883,PPP2CA,0.109,0.5337,0.9994
12884,CDKL3,0.1688,0.4374,0.9994
12885,UBE2B,0.05604,0.7306,0.9994
12886,CDKN2AIPNL,0.1606,0.4612,0.9994
12887,PHF15,0.2026,0.5055,0.9994
12888,SAR1B,0.09395,0.5294,0.9994
12889,SEC24A,-0.02866,0.9045,0.9994
12890,CAMLG,-0.1207,0.6955,0.9994
12891,DDX46,-0.06212,0.7663,0.9994
12892,C5orf24,0.03665,0.6548,0.9994
12893,TXNDC15,-0.01988,0.8712,0.9994
12894,PCBD2,-0.1585,0.6462,0.9994
12895,CATSPER3,-0.1829,0.5624,0.9994
12896,H2AFY,-0.07528,0.6895,0.9994
12897,NEUROG1,0.09283,0.8097,0.9994
12898,SMAD5-AS1,-0.4091,0.2711,0.9994
12899,LOC389332,-0.2124,0.5856,0.9994
12900,TRPC7,0.4982,0.1962,0.9994
12901,KLHL3,-0.04354,0.8503,0.9994
12902,HNRNPA0,0.06003,0.5858,0.9994
12903,FAM13B,-0.01983,0.9136,0.9994
12904,WNT8A,-0.167,0.6682,0.9994
12905,NME5,0.06611,0.8657,0.9994
12906,BRD8,-0.08392,0.6625,0.9994
12907,CDC23,0.002272,0.9852,0.9994
12908,GFRA3,-0.4974,0.1833,0.9994
12909,KDM3B,-0.1145,0.5217,0.9994
12910,REEP2,0.1201,0.5284,0.9994
12911,EGR1,-0.09077,0.8151,0.9994
12912,ETF1,0.05465,0.6643,0.9994
12913,HSPA9,0.005639,0.9702,0.9994
12914,CTNNA1,-0.1966,0.1646,0.9994
12915,LRRTM2,0.3691,0.2881,0.9994
12916,SIL1,-0.2359,0.3583,0.9994
12917,MATR3,0.09513,0.5795,0.9994
12918,SNHG4,0.01081,0.978,0.9994
12919,PAIP2,0.1054,0.5203,0.9994
12920,SLC23A1,0.1482,0.7042,0.9994
12921,MZB1,0.01681,0.9628,0.9994
12922,C5orf65,0.2512,0.4423,0.9994
12923,SPATA24,-0.006423,0.9809,0.9994
12924,DNAJC18,0.1412,0.514,0.9994
12925,UBE2D2,-0.03165,0.8301,0.9994
12926,CXXC5,-0.04205,0.8662,0.9994
12927,NRG2,0.2314,0.4723,0.9994
12928,PURA,-0.323,0.1251,0.9994
12929,IGIP,-0.1584,0.6223,0.9994
12930,PFDN1,0.1165,0.4337,0.9994
12931,HBEGF,0.172,0.5656,0.9994
12932,SLC4A9,-0.3397,0.3853,0.9994
12933,ANKHD1,-0.3446,0.243,0.9994
12934,ANKHD1-EIF4EBP3,-0.2047,0.5436,0.9994
12935,EIF4EBP3,-0.2992,0.4047,0.9994
12936,APBB3,0.1284,0.6756,0.9994
12937,SLC35A4,0.07145,0.8373,0.9994
12938,CD14,-0.1121,0.775,0.9994
12939,TMCO6,-0.0477,0.7884,0.9994
12940,NDUFA2,0.101,0.5697,0.9994
12941,IK,0.08702,0.5818,0.9994
12942,WDR55,-0.05256,0.7179,0.9994
12943,DND1,0.08916,0.7464,0.9994
12944,HARS,0.02472,0.8346,0.9994
12945,HARS2,-0.03427,0.7324,0.9994
12946,ZMAT2,-0.02004,0.8435,0.9994
12947,VTRNA1-3,-0.09748,0.8026,0.9994
12948,PCDHA1,0.4491,0.1774,0.9994
12949,PCDHA2,-0.2434,0.4804,0.9994
12950,PCDHA3,-0.08176,0.7887,0.9994
12951,PCDHA4,-0.05501,0.8792,0.9994
12952,PCDHA5,-0.3617,0.3525,0.9994
12953,PCDHA7,0.03553,0.9266,0.9994
12954,PCDHA8,0.1311,0.6927,0.9994
12955,PCDHA9,-0.2443,0.5163,0.9994
12956,PCDHA10,-0.1015,0.7857,0.9994
12957,PCDHA11,-0.0204,0.9549,0.9994
12958,PCDHA12,-0.1669,0.5486,0.9994
12959,PCDHAC1,-0.2908,0.3525,0.9994
12960,PCDHAC2,-0.2266,0.4747,0.9994
12961,PCDHB1,-0.4957,0.2016,0.9994
12962,PCDHB2,-0.1655,0.3475,0.9994
12963,PCDHB3,-0.03571,0.8943,0.9994
12964,PCDHB4,0.0582,0.8496,0.9994
12965,PCDHB5,0.2918,0.444,0.9994
12966,PCDHB16,0.06646,0.8553,0.9994
12967,PCDHB9,0.06687,0.7875,0.9994
12968,PCDHB12,0.1529,0.6335,0.9994
12969,PCDHB13,0.3402,0.3244,0.9994
12970,PCDHB14,0.02356,0.9249,0.9994
12971,PCDHB19P,0.5919,0.1158,0.9994
12972,PCDHB15,-0.164,0.6401,0.9994
12973,TAF7,-0.1161,0.5265,0.9994
12974,PCDHGA2,0.08787,0.8166,0.9994
12975,PCDHGA4,0.02698,0.9406,0.9994
12976,PCDHGB2,-0.293,0.3186,0.9994
12977,PCDHGA5,-0.3834,0.307,0.9994
12978,PCDHGB3,0.1255,0.7301,0.9994
12979,PCDHGA6,0.4781,0.2205,0.9994
12980,PCDHGA7,0.3425,0.3508,0.9994
12981,PCDHGA9,-0.2801,0.3855,0.9994
12982,PCDHGB6,0.194,0.4373,0.9994
12983,PCDHGA10,-0.2654,0.4941,0.9994
12984,PCDHGA11,-0.2218,0.5691,0.9994
12985,PCDHGB8P,0.01926,0.9607,0.9994
12986,PCDHGA12,0.07129,0.8527,0.9994
12987,PCDHGC3,-0.06354,0.8161,0.9994
12988,PCDHGC4,0.3438,0.354,0.9994
12989,PCDHGC5,-0.1052,0.7799,0.9994
12990,DIAPH1,-0.01071,0.9555,0.9994
12991,HDAC3,-0.02359,0.935,0.9994
12992,RELL2,0.1352,0.6538,0.9994
12993,FCHSD1,-0.133,0.6778,0.9994
12994,PCDH1,0.1085,0.7265,0.9994
12995,KIAA0141,-0.1826,0.5016,0.9994
12996,PCDH12,-0.1454,0.7088,0.9994
12997,RNF14,0.08388,0.5333,0.9994
12998,GNPDA1,0.1412,0.408,0.9994
12999,NDFIP1,0.103,0.5596,0.9994
13000,SPRY4,0.2316,0.4585,0.9994
13001,FGF1,-0.1542,0.6919,0.9994
13002,ARHGAP26,-0.01234,0.9575,0.9994
13003,NR3C1,-0.3357,0.1483,0.9994
13004,YIPF5,0.04891,0.8024,0.9994
13005,KCTD16,0.2976,0.1455,0.9994
13006,PRELID2,-0.1803,0.6332,0.9994
13007,PLAC8L1,-0.1325,0.7089,0.9994
13008,LARS,-0.04093,0.737,0.9994
13009,PPP2R2B,0.03234,0.8937,0.9994
13010,STK32A,0.08715,0.7885,0.9994
13011,DPYSL3,0.2129,0.3101,0.9994
13012,LOC153469,-0.2813,0.4705,0.9994
13013,JAKMIP2,0.2613,0.2003,0.9994
13014,SPINK6,-0.1811,0.6413,0.9994
13015,SPINK13,0.175,0.654,0.9994
13016,FBXO38,0.1068,0.6279,0.9994
13017,ADRB2,-0.4196,0.2616,0.9994
13018,SH3TC2,-0.2856,0.4661,0.9994
13019,ABLIM3,0.4458,0.187,0.9994
13020,AFAP1L1,-0.3909,0.3148,0.9994
13021,GRPEL2,0.1234,0.6015,0.9994
13022,PCYOX1L,-0.01568,0.9242,0.9994
13023,CSNK1A1,-0.01449,0.8886,0.9994
13024,ARHGEF37,-0.2303,0.5483,0.9994
13025,PPARGC1B,0.4125,0.2929,0.9994
13026,HMGXB3,-0.03496,0.8504,0.9994
13027,CSF1R,0.232,0.5369,0.9994
13028,SLC6A7,0.1604,0.6508,0.9994
13029,TCOF1,-0.03887,0.7707,0.9994
13030,CD74,-0.4562,0.2348,0.9994
13031,RPS14,-0.263,0.3657,0.9994
13032,NDST1,0.04722,0.78,0.9994
13033,DCTN4,0.06317,0.7141,0.9994
13034,GPX3,0.2036,0.4931,0.9994
13035,TNIP1,-0.1789,0.633,0.9994
13036,CCDC69,-0.2804,0.4367,0.9994
13037,SLC36A1,-0.1549,0.5398,0.9994
13038,FAT2,0.1167,0.7052,0.9994
13039,ATOX1,-0.1518,0.407,0.9994
13040,G3BP1,-0.05238,0.7446,0.9994
13041,GLRA1,-0.1931,0.6138,0.9994
13042,NMUR2,-0.07367,0.8507,0.9994
13043,GRIA1,0.05578,0.832,0.9994
13044,MFAP3,0.1856,0.5479,0.9994
13045,GALNT10,-0.3383,0.3524,0.9994
13046,FLJ38109,-0.2188,0.5672,0.9994
13047,SAP30L,0.04703,0.839,0.9994
13048,LARP1,0.03234,0.8396,0.9994
13049,C5orf4,-0.1999,0.5334,0.9994
13050,CNOT8,0.09349,0.4108,0.9994
13051,GEMIN5,0.05622,0.6919,0.9994
13052,MRPL22,-0.1897,0.2592,0.9994
13053,PPP1R2P3,0.1059,0.6296,0.9994
13054,HAVCR2,-0.2553,0.5099,0.9994
13055,MED7,0.1335,0.6475,0.9994
13056,ITK,-0.3904,0.2718,0.9994
13057,CYFIP2,0.02182,0.8834,0.9994
13058,FNDC9,0.4416,0.2075,0.9994
13059,NIPAL4,-0.1445,0.7126,0.9994
13060,ADAM19,-0.2025,0.3966,0.9994
13061,SOX30,0.3844,0.3258,0.9994
13062,LSM11,0.146,0.6837,0.9994
13063,CLINT1,-0.02482,0.8343,0.9994
13064,EBF1,0.07528,0.8106,0.9994
13065,RNF145,-0.08734,0.6664,0.9994
13066,UBLCP1,0.1125,0.662,0.9994
13067,ADRA1B,0.1942,0.6184,0.9994
13068,TTC1,0.07002,0.6889,0.9994
13069,PWWP2A,-0.07629,0.5112,0.9994
13070,FABP6,-0.3153,0.4206,0.9994
13071,CCNJL,-0.293,0.1864,0.9994
13072,C1QTNF2,-0.5904,0.1295,0.9994
13073,SLU7,0.02549,0.8903,0.9994
13074,PTTG1,-0.4541,0.1108,0.9994
13075,ATP10B,-0.195,0.6189,0.9994
13076,GABRB2,0.1116,0.7397,0.9994
13077,GABRA1,0.4216,0.2797,0.9994
13078,GABRG2,0.2371,0.4846,0.9994
13079,CCNG1,-0.4422,0.1177,0.9994
13080,NUDCD2,-0.174,0.2911,0.9994
13081,HMMR,-0.5367,0.1226,0.9994
13082,MAT2B,0.07174,0.7457,0.9994
13083,ODZ2,-0.115,0.5702,0.9994
13084,WWC1,0.2319,0.3337,0.9994
13085,RARS,0.04358,0.8765,0.9994
13086,SLIT3,0.1501,0.6613,0.9994
13087,MIR218-2,0.333,0.3463,0.9994
13088,CCDC99,-0.0819,0.7592,0.9994
13089,DOCK2,-0.0228,0.9471,0.9994
13090,FAM196B,0.4622,0.1707,0.9994
13091,C5orf58,-0.251,0.5189,0.9994
13092,LCP2,-0.1576,0.6596,0.9994
13093,KCNIP1,0.1601,0.5875,0.9994
13094,RANBP17,-0.17,0.3371,0.9994
13095,TLX3,0.1552,0.6892,0.9994
13096,FBXW11,-0.0217,0.9145,0.9994
13097,STK10,-0.2081,0.2847,0.9994
13098,UBTD2,0.01374,0.9277,0.9994
13099,SH3PXD2B,-0.08732,0.7405,0.9994
13100,NEURL1B,0.1671,0.6244,0.9994
13101,DUSP1,-0.2326,0.5346,0.9994
13102,ERGIC1,-0.1413,0.3382,0.9994
13103,LOC100268168,0.04292,0.8551,0.9994
13104,RPL26L1,0.01414,0.9444,0.9994
13105,ATP6V0E1,-0.2655,0.2903,0.9994
13106,BNIP1,-0.09779,0.6039,0.9994
13107,STC2,-0.2735,0.3273,0.9994
13108,LOC285593,0.3868,0.323,0.9994
13109,BOD1,-0.1225,0.6552,0.9994
13110,HMP19,0.3376,0.266,0.9994
13111,MSX2,-0.316,0.4197,0.9994
13112,DRD1,-0.05366,0.8897,0.9994
13113,SFXN1,0.06232,0.6893,0.9994
13114,HRH2,-0.5799,0.1327,0.9994
13115,CPLX2,0.2291,0.5506,0.9994
13116,THOC3,-0.0822,0.72,0.9994
13117,LOC643201,-0.435,0.265,0.9994
13118,C5orf25,-0.1402,0.518,0.9994
13119,KIAA1191,-0.00766,0.9617,0.9994
13120,ARL10,0.08661,0.6725,0.9994
13121,NOP16,-0.05486,0.7233,0.9994
13122,HIGD2A,-0.1824,0.3236,0.9994
13123,CLTB,0.1417,0.4971,0.9994
13124,FAF2,0.09603,0.6364,0.9994
13125,CDHR2,0.07772,0.8233,0.9994
13126,GPRIN1,0.3051,0.3441,0.9994
13127,SNCB,0.3659,0.2986,0.9994
13128,TSPAN17,0.03485,0.8438,0.9994
13129,UNC5A,0.1875,0.6303,0.9994
13130,HK3,0.4323,0.2424,0.9994
13131,FGFR4,-0.09301,0.7976,0.9994
13132,NSD1,-0.03705,0.8266,0.9994
13133,RAB24,0.0747,0.7316,0.9994
13134,PRELID1,0.1417,0.5421,0.9994
13135,LMAN2,-0.2242,0.2738,0.9994
13136,F12,0.03803,0.914,0.9994
13137,GRK6,-0.002739,0.981,0.9994
13138,LOC340037,0.1523,0.5992,0.9994
13139,DBN1,0.1012,0.4843,0.9994
13140,DOK3,0.2258,0.4137,0.9994
13141,DDX41,-0.1509,0.2306,0.9994
13142,TMED9,-0.1467,0.4122,0.9994
13143,B4GALT7,0.02441,0.9365,0.9994
13144,LOC202181,-0.1212,0.7121,0.9994
13145,LOC728554,-0.2284,0.5542,0.9994
13146,N4BP3,0.0636,0.8623,0.9994
13147,RMND5B,0.1592,0.2904,0.9994
13148,NHP2,-0.03407,0.8402,0.9994
13149,GMCL1P1,-0.08392,0.804,0.9994
13150,HNRNPAB,0.1623,0.4514,0.9994
13151,COL23A1,-0.1789,0.646,0.9994
13152,CLK4,-0.1077,0.7792,0.9994
13153,ZNF354A,0.01097,0.9459,0.9994
13154,ZNF354B,-0.04957,0.8051,0.9994
13155,ZFP2,-0.138,0.6859,0.9994
13156,ZNF454,0.4712,0.202,0.9994
13157,GRM6,0.2854,0.4612,0.9994
13158,ZNF879,0.1985,0.5518,0.9994
13159,ZNF354C,0.1075,0.6449,0.9994
13160,ADAMTS2,-0.4762,0.2125,0.9994
13161,RUFY1,-0.1784,0.263,0.9994
13162,HNRNPH1,-0.06814,0.7149,0.9994
13163,MAML1,-0.2225,0.2779,0.9994
13164,LTC4S,0.05125,0.8939,0.9994
13165,MGAT4B,-0.03042,0.6726,0.9994
13166,C5orf45,-0.0342,0.8307,0.9994
13167,TBC1D9B,-0.1259,0.6772,0.9994
13168,RNF130,-0.1273,0.4175,0.9994
13169,RASGEF1C,0.4668,0.1467,0.9994
13170,MAPK9,0.1766,0.2967,0.9994
13171,CNOT6,-0.01538,0.9224,0.9994
13172,FLT4,-0.06014,0.8406,0.9994
13173,MGAT1,-0.1644,0.4546,0.9994
13174,ZFP62,0.2988,0.1811,0.9994
13175,BTNL9,0.2236,0.5641,0.9994
13176,TRIM41,0.0711,0.7047,0.9994
13177,GNB2L1,-0.3732,0.1708,0.9994
13178,SNORD96A,-0.5087,0.1927,0.9994
13179,SNORD95,0.1585,0.6845,0.9994
13180,TRIM52,0.01425,0.964,0.9994
13181,DUSP22,-0.1567,0.5417,0.9994
13182,IRF4,0.2873,0.4635,0.9994
13183,EXOC2,0.1582,0.508,0.9994
13184,HUS1B,0.2558,0.5101,0.9994
13185,LOC100508120,-0.419,0.1558,0.9994
13186,MYLK4,-0.5669,0.1461,0.9994
13187,WRNIP1,0.03966,0.8559,0.9994
13188,SERPINB1,-0.005684,0.9871,0.9994
13189,SERPINB9,-0.6032,0.1088,0.9994
13190,SERPINB6,-0.3512,0.2342,0.9994
13191,DKFZP686I15217,0.03417,0.8964,0.9994
13192,RIPK1,-0.182,0.61,0.9994
13193,BPHL,-0.003261,0.9898,0.9994
13194,TUBB2A,0.323,0.2004,0.9994
13195,TUBB2B,0.04211,0.898,0.9994
13196,PSMG4,0.05819,0.8276,0.9994
13197,SLC22A23,0.1533,0.2819,0.9994
13198,PXDC1,-0.115,0.473,0.9994
13199,FAM50B,0.4701,0.2176,0.9994
13200,PRPF4B,-0.2021,0.3672,0.9994
13201,ECI2,-0.3071,0.1799,0.9994
13202,CDYL,-0.1701,0.2605,0.9994
13203,RPP40,-0.02178,0.9215,0.9994
13204,FARS2,0.02788,0.8329,0.9994
13205,RREB1,-0.1152,0.5692,0.9994
13206,SSR1,-0.2012,0.2021,0.9994
13207,SNRNP48,-0.1766,0.497,0.9994
13208,BMP6,-0.16,0.6534,0.9994
13209,PIP5K1P1,-0.06615,0.8187,0.9994
13210,EEF1E1,-0.04479,0.8534,0.9994
13211,SLC35B3,-0.1838,0.2656,0.9994
13212,LOC100506207,0.1669,0.6509,0.9994
13213,TFAP2A,-0.3332,0.3876,0.9994
13214,LOC100130275,-0.1993,0.5812,0.9994
13215,GCNT2,0.2688,0.2638,0.9994
13216,C6orf52,0.4352,0.1669,0.9994
13217,PAK1IP1,0.2054,0.1804,0.9994
13218,TMEM14C,-0.01646,0.9329,0.9994
13219,TMEM14B,0.04518,0.8947,0.9994
13220,MAK,0.1378,0.7044,0.9994
13221,GCM2,-0.1316,0.6824,0.9994
13222,SYCP2L,-0.2947,0.391,0.9994
13223,ELOVL2,-0.07248,0.7213,0.9994
13224,LOC100506409,0.1108,0.7271,0.9994
13225,C6orf228,0.2222,0.1893,0.9994
13226,ERVFRD-1,-0.1285,0.7286,0.9994
13227,TMEM170B,0.1428,0.4692,0.9994
13228,HIVEP1,-0.05249,0.7568,0.9994
13229,EDN1,-0.5134,0.1205,0.9994
13230,PHACTR1,0.05475,0.8576,0.9994
13231,LOC100130357,-0.3027,0.3478,0.9994
13232,TBC1D7,-0.07797,0.649,0.9994
13233,GFOD1,0.1214,0.6925,0.9994
13234,SIRT5,0.06396,0.7204,0.9994
13235,NOL7,0.08581,0.5759,0.9994
13236,RANBP9,-0.1441,0.3576,0.9994
13237,CCDC90A,-0.07612,0.6686,0.9994
13238,RNF182,-0.1434,0.5056,0.9994
13239,CD83,-0.1123,0.7668,0.9994
13240,JARID2,0.09642,0.699,0.9994
13241,DTNBP1,0.05027,0.712,0.9994
13242,MYLIP,-0.19,0.4277,0.9994
13243,GMPR,-0.4123,0.2909,0.9994
13244,ATXN1,-0.05209,0.8053,0.9994
13245,FLJ23152,0.1539,0.6927,0.9994
13246,RBM24,-0.3396,0.1844,0.9994
13247,CAP2,-0.1344,0.5544,0.9994
13248,FAM8A1,0.07908,0.6562,0.9994
13249,NUP153,0.02915,0.8274,0.9994
13250,KIF13A,-0.1662,0.4419,0.9994
13251,NHLRC1,0.5538,0.1579,0.9994
13252,TPMT,0.05702,0.8426,0.9994
13253,KDM1B,0.1415,0.337,0.9994
